iter	Passed	Remaining
0	0	89
1	1	88
2	2	88
3	3	84
4	4	84
5	5	83
6	6	83
7	7	83
8	8	83
9	9	83
10	10	82
11	11	81
12	12	80
13	12	78
14	13	78
15	14	76
16	15	75
17	16	75
18	17	73
19	18	73
20	19	72
21	20	72
22	21	71
23	22	70
24	23	70
25	24	69
26	25	68
27	26	67
28	27	66
29	28	65
30	29	64
31	29	63
32	30	62
33	31	61
34	32	60
35	33	60
36	34	59
37	35	58
38	36	57
39	37	56
40	38	55
41	39	53
42	39	52
43	40	52
44	41	51
45	42	50
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	49	44
53	50	43
54	51	42
55	52	41
56	53	40
57	53	39
58	54	38
59	55	36
60	56	35
61	56	34
62	57	33
63	58	32
64	59	31
65	60	31
66	60	30
67	61	29
68	62	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	68	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	72	15
82	73	15
83	74	14
84	75	13
85	75	12
86	76	11
87	77	10
88	78	9
89	79	8
90	79	7
91	80	7
92	81	6
93	82	5
94	82	4
95	83	3
96	84	2
97	84	1
98	85	0
99	86	0
